City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
523,Tautira,PF,79.68,light rain,-17.7333,-149.15,Pension Oaoa
525,Dicabisagan,PH,81.59,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
527,Pacifica,US,82.24,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
528,Pandan,PH,84.0,overcast clouds,14.0453,124.1694,Bonifacio Lodge
531,Panzhihua,CN,71.22,overcast clouds,26.5851,101.7128,Electric Power Hotel
532,Rantauprapat,ID,77.14,broken clouds,2.1,99.8333,Permata Land Hotel & Resort
533,Kieta,PG,86.58,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
535,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
538,Greenwood,US,75.36,clear sky,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
540,Lucea,JM,79.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
