City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Hamilton,US,39.1834,-84.5333,64.78,95,100,3.44,mist
107,Haines Junction,CA,60.7522,-137.5108,50.67,40,91,6.69,overcast clouds
108,Xining,CN,36.6167,101.7667,55.24,55,100,2.44,overcast clouds
109,Goderich,CA,43.7501,-81.7165,49.91,94,100,10.09,overcast clouds
110,Bakchar,RU,57.0186,82.0711,56.75,74,100,5.93,light rain
111,Okahandja,NA,-21.9833,16.9167,53.69,43,4,6.26,clear sky
112,Tuktoyaktuk,CA,69.4541,-133.0374,32.22,92,100,10.89,overcast clouds
113,Geraldton,AU,-28.7667,114.6,64.81,88,75,9.22,light intensity drizzle
114,Tuatapere,NZ,-46.1333,167.6833,52.72,71,83,15.39,light rain
115,Port Alfred,ZA,-33.5906,26.891,62.19,74,91,8.21,overcast clouds
116,Tazovskiy,RU,67.4667,78.7,34.41,74,36,4.65,scattered clouds
117,Pozo Colorado,PY,-23.4923,-58.7972,48.11,63,99,4.68,overcast clouds
118,Brookline,US,42.3318,-71.1212,63.19,42,100,1.01,overcast clouds
119,Saint George,US,37.1041,-113.5841,95.95,11,0,13.8,clear sky
120,Faanui,PF,-16.4833,-151.75,80.2,74,100,6.98,light rain
121,Bara,NG,10.3744,10.7288,84.11,57,98,3.51,overcast clouds
122,Seoul,KR,37.5683,126.9778,70.99,46,100,8.03,overcast clouds
123,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,8.05,light snow
124,Asau,RO,46.4333,26.4,49.95,70,87,4.25,overcast clouds
125,Cabedelo,BR,-6.9811,-34.8339,75.87,81,17,6.33,few clouds
126,Mahebourg,MU,-20.4081,57.7,73.69,73,20,8.05,few clouds
127,Alta Floresta,BR,-9.8756,-56.0861,63.18,55,90,4.74,overcast clouds
128,Boz,FR,46.4071,4.9109,71.4,87,90,5.55,overcast clouds
129,Rio Gallegos,AR,-51.6226,-69.2181,37.45,93,0,2.3,clear sky
130,Mar Del Plata,AR,-38.0023,-57.5575,48.22,75,100,4.61,overcast clouds
131,Amnat Charoen,TH,15.9167,104.75,79.93,79,18,6.85,light rain
132,Gallup,US,35.5281,-108.7426,80.44,11,0,11.5,clear sky
